Country or region,Liver,Kidney,Oral,Lungs,Larynx,Galbladder,Skin,Leukemia
China,187700,23954,22642,757171,20255,34463,5162,60381
United States,23807,19753,7821,206196,4934,5329,11906,31378
India,30709,8607,65571,89242,29811,27832,1864,33827
Japan,34515,7973,4678,86001,1210,21416,778,9860
Russia,6826,10194,5853,54140,4111,2896,3485,7427
Germany,7743,8126,3022,53968,1673,4753,3211,9336
Indonesia,4721,2910,4204,49437,2133,1997,479,10591
Brazil,5822,4623,5564,36987,5452,5304,2470,8796
France,7792,5371,2424,40195,1812,1695,2195,7698
Italy,6919,5091,2059,36975,1720,4129,2128,7153
United Kingdom,5155,5018,2196,42837,962,1223,2736,5857
Spain,4973,2957,1578,24523,1502,1567,1105,4191
Poland,1455,3737,1810,31206,1781,2312,1616,3451
Vietnam,2387,847,3450,25161,1840,1276,242,3391
Ukraine,1965,3178,2499,17023,1748,921,1394,2950
Argentina,1172,2775,844,13879,1053,2181,709,2658
South Korea,14477,1569,797,23300,518,5618,246,2049
Canada,2668,2247,1072,24052,508,919,1295,3325
Turkey,2537,1701,619,29832,1440,1207,564,4405
Philippines,5280,1055,1549,13964,691,484,214,4213
Thailand,24527,882,2958,23109,1191,4960,174,4143
Mexico,4183,3460,1109,11002,1118,2910,874,5249
Taiwan,2852,1246,2239,12053,276,991,181,1290
Pakistan,3912,1314,17567,18550,6565,3681,533,6492
Netherlands,939,1511,479,13163,267,623,873,1833
Romania,1112,1113,1122,11014,1032,577,467,1334
Australia,1726,1445,903,10034,257,550,1707,1986
Iran,2501,934,486,8923,1451,802,328,4424
Nigeria,2920,911,612,6238,992,608,431,3503
Bangladesh,3521,760,5186,9970,2925,2444,220,3495
Hungary,512,925,775,8972,488,691,392,947
Myanmar,1955,529,960,10614,477,457,133,2659
Portugal,1050,517,445,4709,392,396,282,1072
Colombia,1396,737,549,6348,550,1270,450,2186
Malaysia,1628,418,670,5221,331,314,93,1391
Czechia,632,1371,413,6238,267,850,420,1040
South Africa,2638,575,1039,8693,616,337,483,1494
Egypt,13590,678,410,6070,663,755,91,2806
Belgium,865,847,400,7896,241,258,375,1238
Serbia,885,615,389,7262,459,423,332,729
Greece,782,784,268,8643,407,395,247,1631
Bulgaria,646,411,289,4608,401,212,202,563
Sweden,624,871,239,4337,72,544,649,931
Chile,727,1071,211,4005,179,2351,249,898
Cuba,464,362,568,6560,962,222,107,657
North Korea,3313,294,389,9163,321,572,114,1312
Venezuela,688,757,414,5659,639,537,167,1155
Peru,874,681,260,3472,180,1203,200,1453
Ethiopia,1226,517,780,2307,382,524,230,5265
Belarus,377,710,462,3543,344,201,251,643
Denmark,370,462,195,4359,102,154,313,577
Austria,799,615,300,4212,144,361,388,827
Morocco,652,264,379,5337,948,390,92,768
Slovakia,312,472,296,2530,177,352,179,378
Algeria,688,291,260,3291,439,1148,81,1011
Croatia,310,396,180,2875,193,254,202,408
Switzerland,766,491,256,3831,103,254,354,633
Kazakhstan,1116,585,394,3717,269,177,170,622
Tanzania,639,405,624,2222,322,267,244,1647
Norway,232,394,107,2388,40,109,322,285
Israel,324,362,105,2518,97,107,272,733
Democratic Republic of Congo,887,280,650,4314,421,313,226,1498
Iraq,1336,428,215,4232,530,211,51,1876
New Zealand,280,266,94,2002,37,102,391,381
Saudi Arabia,733,287,205,1492,115,234,38,774
Kenya,724,172,887,1282,326,292,134,800
Uzbekistan,1325,430,460,2656,367,121,102,1103
Finland,510,509,157,2593,45,272,235,424
Ecuador,539,306,148,1552,108,528,145,921
Cambodia,1184,134,320,2985,187,152,38,777
Uruguay,128,346,118,1754,137,238,91,283
Uganda,974,246,413,1036,209,139,185,673
Sri Lanka,706,658,1026,2478,180,515,37,887
Ireland,257,280,106,2190,62,82,156,311
Bosnia and Herzegovina,481,215,98,2390,155,164,88,223
Ghana,990,183,125,1409,237,164,38,616
Sudan,684,243,148,1553,345,242,75,1685
Tunisia,220,146,161,2523,303,255,37,346
Puerto Rico,195,128,95,845,64,48,34,267
Dominican Republic,453,227,258,1437,190,240,21,398
Cameroon,85,102,223,1607,184,133,32,694
Singapore,658,155,68,1566,35,83,16,189
Nepal,490,170,989,1837,554,570,43,718
Azerbaijan,365,355,93,2296,238,98,40,435
Afghanistan,1376,143,140,1492,423,285,87,2120
Moldova,138,153,129,1033,140,42,57,139
Lithuania,169,308,134,1313,115,89,93,270
Bolivia,427,194,114,1217,110,587,130,671
Guatemala,521,183,108,897,81,207,47,724
Angola,302,138,256,1582,178,111,78,616
Slovenia,222,175,64,1269,54,127,112,194
Lebanon,155,125,68,1433,150,109,30,338
Cote d'Ivoire,537,145,177,1312,155,104,36,567
Yemen,423,107,111,1336,326,193,56,1203
Mozambique,459,127,191,900,196,136,133,929
Zimbabwe,1016,68,164,1026,165,95,141,266
Zambia,202,126,213,717,112,77,77,438
Costa Rica,269,112,61,492,56,94,62,253
Georgia,210,170,125,1770,200,85,86,234
Jordan,141,86,63,917,45,86,12,454
Latvia,106,207,92,950,69,44,69,178
Madagascar,289,103,230,690,115,92,104,467
Syria,502,79,62,1374,101,72,19,1847
North Macedonia,280,69,49,1281,118,68,93,132
Haiti,297,97,152,796,165,152,57,639
Paraguay,117,98,90,881,84,93,44,270
Libya,256,109,57,946,141,118,13,277
Mali,1372,109,99,618,86,79,48,373
Armenia,289,109,47,1334,107,54,21,157
Burkina Faso,248,116,145,908,128,99,35,598
Senegal,167,80,111,921,87,78,28,355
El Salvador,127,91,65,632,46,160,12,298
Laos,308,50,95,1000,51,47,14,295
Estonia,95,153,51,714,32,45,51,139
Jamaica,82,36,29,572,38,46,13,131
Rwanda,286,77,151,488,81,64,59,287
Panama,126,82,47,447,43,54,21,186
United Arab Emirates,203,238,75,523,145,65,27,310
Nicaragua,172,78,38,371,52,128,18,230
Honduras,934,103,90,1399,76,137,15,439
Tajikistan,174,118,45,586,48,28,21,262
Palestine,142,37,17,530,21,38,4,187
Malawi,243,187,130,432,39,45,152,306
Albania,294,98,53,1158,88,51,27,145
Niger,51,63,93,682,77,72,19,507
Guinea,1935,60,226,570,73,60,64,228
Chad,325,61,83,654,74,57,20,389
Kyrgyzstan,117,90,73,560,39,44,26,152
South Sudan,115,53,81,334,37,34,29,248
Benin,255,73,70,508,57,48,17,301
Papua New Guinea,67,26,83,1000,35,38,21,315
Somalia,248,60,146,377,97,72,67,514
Burundi,144,47,125,322,73,47,45,273
Congo,79,38,62,422,39,28,18,107
Cyprus,65,39,20,462,16,28,24,101
Turkmenistan,229,147,88,399,39,32,19,144
Trinidad and Tobago,49,31,23,191,18,22,5,57
Eritrea,88,34,81,228,41,33,34,157
Togo,192,37,58,400,48,35,12,162
Sierra Leone,181,41,52,378,45,35,12,214
Kuwait,54,37,17,228,15,23,5,96
Mauritius,34,23,43,209,19,20,3,50
Mongolia,2365,56,54,672,31,72,3,79
Botswana,22,21,52,298,30,14,11,64
Luxembourg,36,18,15,289,9,10,18,53
Montenegro,60,32,20,531,46,16,15,41
Mauritania,90,22,26,225,18,19,7,75
Gabon,36,22,30,205,18,12,7,40
Malta,20,27,10,194,9,7,10,33
Oman,83,22,21,144,10,15,4,89
Lesotho,197,17,49,240,36,15,19,63
Central African Republic,75,19,52,289,42,24,16,136
Liberia,108,22,28,182,24,18,7,92
Barbados,13,13,10,48,7,8,2,22
Namibia,49,24,75,111,40,9,44,41
Suriname,16,10,9,92,5,8,3,21
Timor,53,8,15,165,8,8,2,50
Guyana,19,14,10,55,8,9,3,26
Bahrain,39,19,10,142,7,8,2,45
Qatar,91,22,9,119,14,9,2,57
Fiji,47,6,15,74,5,9,3,48
Brunei,35,10,10,103,3,9,2,19
Eswatini,118,11,20,105,13,6,8,28
Iceland,16,28,7,147,2,6,10,20
Bahamas,12,8,11,56,10,7,4,14
Equatorial Guinea,17,8,11,78,5,5,3,21
Guinea-Bissau,47,9,14,93,13,9,3,46
Djibouti,20,10,16,63,9,6,6,31
Gambia,410,9,14,72,6,10,3,35
United States Virgin Islands,5,7,4,45,4,3,3,7
Cape Verde,53,10,15,76,6,4,1,19
Comoros,14,6,10,37,5,5,4,18
Bhutan,18,5,27,44,12,15,1,20
Andorra,13,5,2,48,1,4,2,8
Solomon Islands,19,3,8,101,4,4,2,30
Belize,9,5,4,37,5,4,1,11
Guam,11,3,3,60,1,1,0,6
Bermuda,3,3,3,32,2,1,2,4
Seychelles,6,2,8,19,6,1,1,7
Monaco,7,4,1,60,3,1,2,9
Saint Lucia,5,3,6,26,5,2,2,8
Maldives,16,3,8,27,2,2,1,12
Greenland,4,4,2,53,1,1,1,2
Grenada,3,2,3,16,1,2,1,4
Saint Vincent and the Grenadines,4,2,5,14,4,2,1,6
Antigua and Barbuda,3,2,2,9,2,1,1,4
Vanuatu,16,1,3,43,2,2,1,11
San Marino,2,2,1,21,1,2,2,5
Dominica,3,2,3,16,2,2,0,5
Sao Tome and Principe,3,1,1,20,1,3,0,4
Samoa,8,1,2,16,1,2,2,7
Saint Kitts and Nevis,2,2,2,7,1,1,0,2
Micronesia (country),8,1,2,22,1,1,0,4
Northern Mariana Islands,4,1,3,22,0,0,0,2
Kiribati,9,2,8,14,0,1,0,4
American Samoa,3,0,0,13,0,0,0,1
Tonga,20,1,1,23,1,1,0,3
Marshall Islands,4,0,1,10,0,0,0,2
Cook Islands,3,0,0,7,0,0,0,1
Palau,2,0,3,9,0,0,0,0
Nauru,0,0,0,1,0,0,0,0
Tuvalu,1,0,0,3,0,0,0,0
Niue,0,0,0,1,0,0,0,0
Tokelau,0,0,0,0,0,0,0,0